Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultsScore,Breakdown,100-metres,long-jump,shot-put,high-jump,400-metres,110-metres-hurdles,discus-throw,pole-vault,javelin-throw,1500-metres,100-metres_wind,long-jump_wind,110-metres-hurdles_wind
1,9126,KevinMAYER,10FEB1992,FRA,1,"StadePierrePaulBernard,Talence(FRA)",16SEP2018,1302, 10.55/+0.3 - 7.80/+1.2 - 16.00 - 2.05 - 48.42 / 13.75/-1.1 - 50.54 - 5.45 - 71.90 - 4:36.11 ,10.55,7.80,16.00,2.05,48.42,13.75,50.54,5.45,71.90,4:36.11,+0.3,+1.2,-1.1
2,9045,AshtonEATON,21JAN1988,USA,1,"NationalStadium,Beijing(CHN)",29AUG2015,1289, 10.23/-0.4 - 7.88/0.0 - 14.52 - 2.01 - 45.00 / 13.69/-0.2 - 43.34 - 5.20 - 63.63 - 4:17.52 ,10.23,7.88,14.52,2.01,45.00,13.69,43.34,5.20,63.63,4:17.52,-0.4,0.0,-0.2
3,9026,RomanŠEBRLE,26NOV1974,CZE,1,Götzis(AUT),27MAY2001,1286, 10.64/0.0 - 8.11/+1.9 - 15.33 - 2.12 - 47.79 / 13.92/-0.2 - 47.92 - 4.80 - 70.16 - 4:21.98 ,10.64,8.11,15.33,2.12,47.79,13.92,47.92,4.80,70.16,4:21.98,0.0,+1.9,-0.2
4,8994,TomášDVOŘÁK,11MAY1972,CZE,1,Praha(CZE),04JUL1999,1281, 10.54/-0.1 - 7.90/+1.1 - 16.78 - 2.04 - 48.08 / 13.73/0.0 - 48.33 - 4.90 - 72.32 - 4:37.20 ,10.54,7.90,16.78,2.04,48.08,13.73,48.33,4.90,72.32,4:37.20,-0.1,+1.1,0.0
5,8891,DanO'BRIEN,18JUL1966,USA,1,Talence(FRA),05SEP1992,1265, 10.43/+2.1 - 8.08/+1.8 - 16.69 - 2.07 - 48.51 / 13.98/-0.5 - 48.56 - 5.00 - 62.58 - 4:42.10 ,10.43,8.08,16.69,2.07,48.51,13.98,48.56,5.00,62.58,4:42.10,+2.1,+1.8,-0.5
6,8832,BryanCLAY,03JAN1980,USA,1,"Eugene,OR(USA)",30JUN2008,1256, 10.39/-0.4 - 7.39/-1.6 - 15.17 - 2.08 - 48.41 / 13.75/+1.9 - 52.74 - 5.00 - 70.55 - 4:50.97 ,10.39,7.39,15.17,2.08,48.41,13.75,52.74,5.00,70.55,4:50.97,-0.4,-1.6,+1.9
7,8815,ErkiNOOL,25JUN1970,EST,2,"CommonwealthStadium,Edmonton(CAN)",07AUG2001,1253, 10.60/+1.5 - 7.63/+2.0 - 14.90 - 2.03 - 46.23 / 14.40/0.0 - 43.40 - 5.40 - 67.01 - 4:29.58 ,10.60,7.63,14.90,2.03,46.23,14.40,43.40,5.40,67.01,4:29.58,+1.5,+2.0,0.0
8,8811,DaleyTHOMPSON,30JUL1958,GBR,1,"Neckarstadion,Stuttgart(GER)",28AUG1986,1252, 10.26/+2.0 - 7.72/+1.0 - 15.73 - 2.00 - 47.02 / 14.04/-0.3 - 43.38 - 5.10 - 62.78 - 4:26.16 ,10.26,7.72,15.73,2.00,47.02,14.04,43.38,5.10,62.78,4:26.16,+2.0,+1.0,-0.3
9,8795,DamianWARNER,04NOV1989,CAN,1,"Mösle-Stadium,Götzis(AUT)",27MAY2018,1250, 10.31/+0.6 - 7.81/+0.5 - 14.83 - 2.03 - 47.72 / 13.56/0.0 - 47.32 - 4.80 - 61.94 - 4:26.59 ,10.31,7.81,14.83,2.03,47.72,13.56,47.32,4.80,61.94,4:26.59,+0.6,+0.5,0.0
10,8790,TreyHARDEE,07FEB1984,USA,1,"Olympiastadion,Berlin(GER)",20AUG2009,1249, 10.45/+0.2 - 7.83/+1.9 - 15.33 - 1.99 - 48.13 / 13.86/+0.3 - 48.08 - 5.20 - 68.00 - 4:48.91 ,10.45,7.83,15.33,1.99,48.13,13.86,48.08,5.20,68.00,4:48.91,+0.2,+1.9,+0.3
